-0.16274,-1,-1
-0.24635,-1,-0.96
-0.28831,-1,-0.92
-0.29066,-1,-0.88
-0.25353,-1,-0.84
-0.17512,-1,-0.8
-0.050044,-1,-0.76
0.13828,-1,-0.72
0.48738,-1,-0.68
0.22564,-1,-0.64
0.005354,-1,-0.6
-0.13828,-1,-0.56
-0.23166,-1,-0.52
-0.28251,-1,-0.48
-0.29351,-1,-0.44
-0.26514,-1,-0.4
-0.1961,-1,-0.36
-0.08209,-1,-0.32
0.089544,-1,-0.28
0.37541,-1,-0.24
0.29327,-1,-0.2
0.045478,-1,-0.16
-0.11144,-1,-0.12
-0.21492,-1,-0.08
-0.27479,-1,-0.04
-0.29446,-1,0
-0.27479,-1,0.04
-0.21492,-1,0.08
-0.11144,-1,0.12
0.045478,-1,0.16
0.29327,-1,0.2
0.37541,-1,0.24
0.089544,-1,0.28
-0.08209,-1,0.32
-0.1961,-1,0.36
-0.26514,-1,0.4
-0.29351,-1,0.44
-0.28251,-1,0.48
-0.23166,-1,0.52
-0.13828,-1,0.56
0.005354,-1,0.6
0.22564,-1,0.64
0.48738,-1,0.68
0.13828,-1,0.72
-0.050044,-1,0.76
-0.17512,-1,0.8
-0.25353,-1,0.84
-0.29066,-1,0.88
-0.28831,-1,0.92
-0.24635,-1,0.96
-0.036008,-0.96,-1
-0.11963,-0.96,-0.96
-0.16158,-0.96,-0.92
-0.16394,-0.96,-0.88
-0.1268,-0.96,-0.84
-0.048395,-0.96,-0.8
0.076683,-0.96,-0.76
0.26501,-0.96,-0.72
0.61411,-0.96,-0.68
0.35237,-0.96,-0.64
0.13208,-0.96,-0.6
-0.011553,-0.96,-0.56
-0.10493,-0.96,-0.52
-0.15578,-0.96,-0.48
-0.16678,-0.96,-0.44
-0.13841,-0.96,-0.4
-0.069371,-0.96,-0.36
0.044637,-0.96,-0.32
0.21627,-0.96,-0.28
0.50214,-0.96,-0.24
0.42,-0.96,-0.2
0.1722,-0.96,-0.16
0.015283,-0.96,-0.12
-0.088197,-0.96,-0.08
-0.14807,-0.96,-0.04
-0.16773,-0.96,0
-0.14807,-0.96,0.04
-0.088197,-0.96,0.08
0.015283,-0.96,0.12
0.1722,-0.96,0.16
0.42,-0.96,0.2
0.50214,-0.96,0.24
0.21627,-0.96,0.28
0.044637,-0.96,0.32
-0.069371,-0.96,0.36
-0.13841,-0.96,0.4
-0.16678,-0.96,0.44
-0.15578,-0.96,0.48
-0.10493,-0.96,0.52
-0.011553,-0.96,0.56
0.13208,-0.96,0.6
0.35237,-0.96,0.64
0.61411,-0.96,0.68
0.26501,-0.96,0.72
0.076683,-0.96,0.76
-0.048395,-0.96,0.8
-0.1268,-0.96,0.84
-0.16394,-0.96,0.88
-0.16158,-0.96,0.92
-0.11963,-0.96,0.96
0.057539,-0.92,-1
-0.02608,-0.92,-0.96
-0.068031,-0.92,-0.92
-0.070389,-0.92,-0.88
-0.033256,-0.92,-0.84
0.045153,-0.92,-0.8
0.17023,-0.92,-0.76
0.35856,-0.92,-0.72
0.70766,-0.92,-0.68
0.44592,-0.92,-0.64
0.22563,-0.92,-0.6
0.081994,-0.92,-0.56
-0.011386,-0.92,-0.52
-0.062236,-0.92,-0.48
-0.073237,-0.92,-0.44
-0.044867,-0.92,-0.4
0.024176,-0.92,-0.36
0.13818,-0.92,-0.32
0.30982,-0.92,-0.28
0.59568,-0.92,-0.24
0.51354,-0.92,-0.2
0.26575,-0.92,-0.16
0.10883,-0.92,-0.12
0.0053501,-0.92,-0.08
-0.05452,-0.92,-0.04
-0.074185,-0.92,0
-0.05452,-0.92,0.04
0.0053501,-0.92,0.08
0.10883,-0.92,0.12
0.26575,-0.92,0.16
0.51354,-0.92,0.2
0.59568,-0.92,0.24
0.30982,-0.92,0.28
0.13818,-0.92,0.32
0.024176,-0.92,0.36
-0.044867,-0.92,0.4
-0.073237,-0.92,0.44
-0.062236,-0.92,0.48
-0.011386,-0.92,0.52
0.081994,-0.92,0.56
